"oficina_productora","serie","subserie","descripcion","idioma","medio_conservacion","formato","informacion_publicada"
"Software","Sistemas de Información","Sistema de Gestión Documental Orfeo","Radicador de documentos, su propósito es garantizar la trazabilidad de los documentos en la organización","Español","http://orfeo.rtvc.gov.co/orfeox/user/login","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema informático - SEVEN","Sistema ERP usado por RTVC para todos sus procesos","Español",,"Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema informático-Kawak","Repositorio de información documentada  (Formatos, manuales, procesos)","Español","https://www.kawak.com.co/RTVC/main/home.php","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema Intranet","Contiene información de interés para los funcionarios de RTVC.","Español","https://intranet.rtvc.gov.co/","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema Mesa de servicio","Interfaz de usuario utilizada para radicar solicitudes de diferente índole en RTVC","Español","http://helpcenter.rtvc.gov.co/mesadeservicio/","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema de Información Google Drive","Son los componentes de un servicio integrado que proporciona un espacio único para almacenar, crear, modificar, compartir y acceder a documentos, archivos y carpetas de todo tipo.","Español",,"Software Ofimático","Disponible"
"Software","Sistemas de Información","Sistema de Información  Final Cut","Es un Sistema que se Utiliza para el control de calidad Audiovisual para los videos que se van a emitir a los diferentes canales","Español",,"Software Television","Disponible"
"Software","Sistemas de Información","Sistema Herramienta Ofimática","Conjunto de programas del paquete office ( Word, Excel, Power Point, Acces)","Español",,"Software Ofimático","Disponible"
"Software","Sistemas de Información","Sistema informático - Koha","Es un software que administra la base de datos de archivos sonoros","Español",,"Software Radio","Disponible"
"Software","Sistemas de Información","Sistema infórmatico - Cubase","Software para la digitalización de archivos de audio","Español",,"Software Radio","Disponible"
"Software","Sistemas de Información","Sistema Proyecta Señal Colombia","Es la agrupación de todas las iniciativas del canal público educativo y cultural de Colombia, dirigida a sus socios potenciales para la producción, distribución y adquisición de contenidos para la TV y las nuevas pantallas.","Español","https://proyecta.senalcolombia.tv/","Software Television","Disponible"
"Software","Sistemas de Información","Sistemas externo SIPOST","Trazabilidad del proceso de envío de documentación por medio de SIPOST - 4/72","Español",,"Software Externo","Disponible"
"Software","Sistemas de Información","Sistemas externos  - Operador Logistico Factura Electrónica","Interfaz utilizada para generar la facturacion electronica para incluir el codigo QR y CUFE ( codigo unico de facturacion electronica ) enviado a la DIAN","Español",,"Software Externo","Disponible"
"Software","Sistemas de Información","Sistema de Gestión Documental Orfeo","Radicador de documentos, su propósito es garantizar la trazabilidad de los documentos en la organización","Español","http://orfeo.rtvc.gov.co/orfeox/user/login","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema informático - SEVEN","Sistema ERP usado por RTVC para todos sus procesos","Español",,"Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema informático-Kawak","Repositorio de información documentada  (Formatos, manuales, procesos)","Español","https://www.kawak.com.co/RTVC/main/home.php","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema Intranet","Contiene información de interés para los funcionarios de RTVC.","Español","https://intranet.rtvc.gov.co/","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema Mesa de servicio","Interfaz de usuario utilizada para radicar solicitudes de diferente índole en RTVC","Español","http://helpcenter.rtvc.gov.co/mesadeservicio/","Software  Administrativo","Disponible"
"Software","Sistemas de Información","Sistema de Información Google Drive","Son los componentes de un servicio integrado que proporciona un espacio único para almacenar, crear, modificar, compartir y acceder a documentos, archivos y carpetas de todo tipo.","Español",,"Software Ofimático","Disponible"
"Software","Sistemas de Información","Sistema de Información  Final Cut","Es un Sistema que se Utiliza para el control de calidad Audiovisual para los videos que se van a emitir a los diferentes canales","Español",,"Software Television","Disponible"
"Software","Sistemas de Información","Sistema Herramienta Ofimática","Conjunto de programas del paquete office ( Word, Excel, Power Point, Acces)","Español",,"Software Ofimático","Disponible"
"Software","Sistemas de Información","Sistema informático - Koha","Es un software que administra la base de datos de archivos sonoros","Español",,"Software Radio","Disponible"
"Software","Sistemas de Información","Sistema infórmatico - Cubase","Software para la digitalización de archivos de audio","Español",,"Software Radio","Disponible"
"Software","Sistemas de Información","Sistema Proyecta Señal Colombia","Es la agrupación de todas las iniciativas del canal público educativo y cultural de Colombia, dirigida a sus socios potenciales para la producción, distribución y adquisición de contenidos para la TV y las nuevas pantallas.","Español","https://proyecta.senalcolombia.tv/","Software Television","Disponible"
"Software","Sistemas de Información","Sistemas externo SIPOST","Trazabilidad del proceso de envío de documentación por medio de SIPOST - 4/72","Español",,"Software Externo","Disponible"
"Software","Sistemas de Información","Sistemas externos  - Operador Logistico Factura Electrónica","Interfaz utilizada para generar la facturacion electronica para incluir el codigo QR y CUFE ( codigo unico de facturacion electronica ) enviado a la DIAN","Español",,"Software Externo","Disponible"
"Gerencia","Informes","Informes a Entidades Nacionales","Documento en el cual se refleja la gestión administrativa, actividades realizadas y la situación en general de RTVC ante algunas Entidades Nacionales.","Español",,"Papel
PDF","Disponible"
